"Lat","Lon","Id","Number","Cells__global_id","Cells__Name","Cells__IsNetObject","Cells__OperatingCompany","Cells__AdmArea","Cells__District","Cells__Address","Cells__PublicPhone__PublicPhone","Cells__SeatsCount","Cells__SocialPrivileges","Cells__Longitude_WGS84","Cells__Latitude_WGS84"
"55.6535753331849","37.766617884569","9c5fe5cc-65a0-4937-9950-243fb14aa997","363","20735922","Кафе «Территория»","да","Территория","Юго-Восточный административный округ","район Марьино","Братиславская улица, дом 29, корпус 1","(495) 345-30-61","100","нет","37.7666178845690000","55.6535753331849000"
"55.7262865626094","37.6811810956993","d5599e98-35dd-45a5-9923-8c43b7507a5d","364","20735926","Версаль","нет","null","Юго-Восточный административный округ","Южнопортовый район","Волгоградский проспект, дом 26, строение 1","(495) 544-46-38","120","нет","37.6811810956993000","55.7262865626094000"
"55.75720244412112","37.626348246033004","a34e1305-9dad-47d5-b79c-e361b8b14f8c","365","20735946","Th Old Shool Pab","нет","null","Центральный административный округ","Тверской район","Большой Черкасский переулок, дом 15-17, строение 1","(495) 625-65-94","90","нет","37.6263482460330040","55.7572024441211200"
"55.7509318353905","37.5658707524941","88be168c-e566-4bfa-ac94-6c168d9801ab","366","20735954","БИФ - БАР ДЖУНИОР","нет","null","Западный административный округ","район Дорогомилово","Кутузовский проспект, дом 2/1, корпус 1А","(495) 229-55-55","75","нет","37.5658707524941000","55.7509318353905000"
"55.751319957918007","37.584382620722387","8e0017a7-6456-43c6-b918-6febaec301c7","367","20735961","КАЛИНА-БАР","нет","null","Центральный административный округ","район Арбат","Новинский бульвар, дом 8","(495) 229-55-16","150","нет","37.5843826207223870","55.7513199579180070"
"55.7928691563389","37.4954516902978","f2bb320b-ff04-4bba-b264-67aca1094619","368","20735979","ПИВНОЙ БАР ПОСТОЯЛЫЙ ДВОР","нет","null","Северо-Западный административный округ","район Щукино","улица Маршала Бирюзова, дом 10, корпус 1","(499) 198-19-94","45","нет","37.4954516902978000","55.7928691563389000"
"55.773470422704591","37.643962822519974","c2810985-d777-453e-90d1-9819bfe6bd6c","369","20736007","Бюргер","нет","null","Центральный административный округ","Красносельский район","Докучаев переулок, дом 6, строение 2","(495) 608-16-77","60","нет","37.6439628225199740","55.7734704227045910"
"55.664188215160905","37.545488626341509","4c466b32-a1b6-4e81-ae7b-2d9d23e2af6e","370","20736257","Бизон","да","Бизон","Юго-Западный административный округ","Обручевский район","Профсоюзная улица, дом 66, строение 2","(495) 410-55-65","90","нет","37.5454886263415090","55.6641882151609050"
"55.7326968384083","37.5616601726554","fd50d440-cdbf-47f5-b705-b79fd47e4bdc","371","20736406","СОХО-РУМС","нет","null","Центральный административный округ","район Хамовники","Большой Саввинский переулок, дом 12, строение 8","(499) 246-04-58","100","нет","37.5616601726554000","55.7326968384083000"
"55.7317840032865","37.593859129267","a6347541-3b53-4ebe-86e0-5f94bf251478","372","20736408","Клуб Фитиль","нет","null","Центральный административный округ","район Хамовники","Фрунзенская набережная, дом 12","(495) 287-02-11","52","нет","37.5938591292670000","55.7317840032865000"
