,distr,address,phone,hasrent,hastoilet,latitude,longitude
216,район Отрадное,"Юрловский проезд, дом 6",(495) 618-40-24,нет,нет,55.86562366199308,37.62859860550502
217,район Нагатино-Садовники,"проспект Андропова, дом 58А",(499) 175-33-69,да,да,55.65901557939198,37.65232379219172
218,Можайский район,"Дорогобужская улица, дом 13",(495) 447-15-60,нет,нет,55.71521992483986,37.41874237877442
219,район Лианозово,"Новгородская улица, дом 8",(499) 909-29-00,нет,нет,55.89363948190508,37.58051679692991
220,район Кузьминки,"Волгоградский проспект, дом 74, корпус 4",(499) 172-36-36,нет,нет,55.703833402139736,37.759661124709574
221,район Выхино-Жулебино,"Жулебинский бульвар, дом 38",(495) 704-08-37,нет,нет,55.6836507433022,37.84796241639699
222,Можайский район,"улица Говорова, дом 7",(495) 448-92-59,нет,нет,55.71830424693338,37.392415565532666
223,Можайский район,"улица Кубинка, дом 20, корпус 1",(495) 448-92-59,нет,нет,55.723203113597265,37.40954889347242
224,район Кузьминки,"Волгоградский проспект, дом 157, корпус 4",(499) 172-06-05,нет,нет,55.70588756780773,37.785522384573405
225,район Восточный,"Западная улица, дом 16",(499) 780-15-82,нет,нет,55.81547300129043,37.882086312849125
226,район Восточный,"Западная улица, дом 16",(499) 780-15-82,нет,нет,55.81614663606316,37.88296875961502
227,район Тропарёво-Никулино,"проспект Вернадского, дом 101, корпус 6",(495) 433-33-11,нет,нет,55.66423355478246,37.48999548081609
228,район Северное Измайлово,"11-я Парковая улица, дом 50",(495) 468-83-34,нет,нет,55.80772446093102,37.806656211400856
229,район Вешняки,"Косинская улица, дом 10А",(495) 375-59-11,нет,нет,55.72570602220478,37.834916757635945
230,район Марьино,"улица Перерва, дом 36",(499) 356-38-11,нет,нет,55.65116540273779,37.73745726032862
231,район Восточный,"Западная улица, дом 16",(499) 780-15-82,нет,нет,55.8157549511306,37.88226723999504
232,район Тропарёво-Никулино,"улица Академика Анохина, дом 64, строение 1",(499) 726-15-84,нет,да,55.64499159960791,37.46603455958908
